,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-12,4.52E-11,1.84E-13,1.54E-09,1.02E-08,3.73E-08,2.63E-07,3.62E-06,6.64E-06,6.57E-05,2.63E-05,3.62E-05,0.000183705,0.001730154,0.002855106,0.015698234,0.007622499,0.003501415,0.08490576,2.97E-05,4.67E-05,0.070817002,0.338455738,0.09318577,0.307239697,0.779684863,1.429280904,0.786282188,0.383674459,0.422041905,0.299661591,0.000457816,0.154741916,0.150190683,0.141608358,0.129807662,0.000342528,0.000297458,0.254715886,0.140162953,0.000167132,0.000131318,0.000100779,7.56E-05,5.54E-05,3.98E-05,2.79E-05,1.92E-05,1.29E-05,8.53E-06,6
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88E-12,4.21E-14,4.69E-10,3.87E-09,1.70E-08,1.40E-07,2.20E-06,4.55E-06,5.00E-05,2.20E-05,3.31E-05,0.000181776,0.001843671,0.003259749,0.019117955,0.009863179,0.004797187,0.122789547,4.52E-05,7.46E-05,0.118585301,0.592516377,0.17022819,0.584639263,1.542989929,2.937324963,1.675741826,0.84689882,0.96371245,0.707071635,0.001115095,0.388680319,0.388680319,0.377248545,0.355691485,0.000964647,0.00086036,0.756120963,0.42674051,0.000521572,0.000419802,0.000329844,0.000253136,0.000189852,0.000139225,9.99E-05,7.01E-05,4.82E-05,3.25E-05,13
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61E-15,2.69E-11,2.96E-10,1.63E-09,1.61E-08,2.96E-07,6.97E-07,8.62E-06,4.22E-06,6.97E-06,4.18E-05,0.000459085,0.000874136,0.005492873,0.003022761,0.001562077,0.042335115,1.64E-05,2.86E-05,0.047699848,0.249683522,0.074993938,0.268760885,0.738873249,1.462824371,0.866637978,0.454209697,0.535318572,0.406304388,0.000662126,0.238237088,0.245681997,0.245681997,0.238456056,0.000665178,0.000609746,0.550353482,0.318783124,0.000399614,0.000329682,0.000265354,0.000208492,0.000160006,0.000120004,8.80E-05,6.31E-05,4.43E-05,3.05E-05,7
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24E-12,1.02E-10,1.68E-09,4.61E-08,1.52E-07,2.51E-06,1.58E-06,3.26E-06,2.39E-05,0.000314902,0.000708616,0.005194914,0.003298606,0.001948144,0.059838006,2.62E-05,5.08E-05,0.094190707,0.544937426,0.180042735,0.706682022,2.119417346,4.560903683,2.927241387,1.656917854,2.103011122,1.714411241,0.002993416,1.1513299,1.26646289,1.348170173,1.390300491,0.004113315,0.003992335,3.809372189,2.329099844,0.003077489,0.002672556,0.002261394,0.00186565,0.001501621,0.001179845,0.000905462,0.000679097,0.000498004,0.000357264,28
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16E-11,2.87E-10,1.05E-08,4.34E-08,8.59E-07,6.30E-07,1.49E-06,1.23E-05,0.000179594,0.000444551,0.003555309,0.002445634,0.001555489,0.051190107,2.39E-05,4.92E-05,0.096693711,0.590497285,0.205363503,0.846371451,2.659235704,5.982688691,4.006705724,2.362428396,3.118405483,2.639954475,0.004780164,1.904212665,2.166862688,2.383548957,2.537326309,0.007741473,0.007741473,7.603947666,4.781985721,0.006494055,0.005791995,0.00502989,0.004256061,0.00351125,0.002826128,0.002220529,0.001704127,0.001278095,0.00093727,44
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48E-13,5.21E-11,2.87E-10,7.09E-09,6.25E-09,1.72E-08,1.62E-07,2.67E-06,7.34E-06,6.46E-05,4.85E-05,3.34E-05,0.001183574,5.91E-07,1.30E-06,0.002714742,0.017553828,0.006444041,0.027955833,0.092226889,0.217370455,0.152193713,0.093637827,0.128752012,0.113357749,0.000213151,0.08805518,0.103779319,0.118093708,0.129903079,0.000409124,0.000421909,0.426972068,0.276412544,0.0003861,0.000353925,0.000315663,0.000274128,0.000231955,0.000191363,0.000154024,0.000121019,9.29E-05,6.97E-05,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E-11,1.41E-10,4.64E-09,5.11E-09,1.69E-08,1.85E-07,3.49E-06,1.08E-05,0.000105594,8.72E-05,6.55E-05,0.002515508,1.35E-06,3.19E-06,0.00710126,0.048787394,0.018963463,0.086838616,0.301560471,0.746288363,0.547401839,0.352099997,0.505186952,0.463316838,0.000906042,0.388691939,0.475067925,0.559901484,0.637129274,0.002073498,0.002207272,2.303563907,1.536468021,0.0022093,0.002083055,0.001909467,0.001703038,0.001478954,0.001251423,0.001032424,0.000830975,0.000652909,0.00050107,9
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E-12,5.62E-11,8.25E-11,3.41E-10,4.49E-09,9.87E-08,3.49E-07,3.84E-06,3.52E-06,2.91E-06,0.000121911,7.10E-08,1.80E-07,0.000430191,0.003152555,0.001301972,0.006312777,0.023139985,0.060279788,0.046425929,0.031284106,0.04692616,0.044908069,9.15E-05,0.040814449,0.051802954,0.063314722,0.074620922,0.000251223,0.000276346,0.29770443,0.204772918,0.000303367,0.000294445,0.000277619,0.000254484,0.000226973,0.000197108,0.000166783,0.000137596,0.000110748,8.70E-05,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32E-11,1.17E-10,6.46E-10,1.06E-08,2.81E-07,1.16E-06,1.45E-05,1.50E-05,1.38E-05,0.000635416,4.04E-07,1.11E-06,0.002853733,0.022406679,0.009870637,0.050850233,0.197360005,0.542686346,0.439960991,0.311291044,0.48917164,0.489413326,0.001040299,0.483478893,0.638192139,0.8100131,0.990016011,0.003452085,0.003928234,4.372910272,3.104888956,0.00474358,0.00474358,0.004604063,0.004340974,0.003979226,0.00354904,0.003082061,0.002607897,0.002151515,0.001731708,13
