,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,lab1,lab,纬度,经度,angle,站点标号
708,326771085,2,1.6,2014-06-10 15:41:28,西部公共汽车,334路,粤BH1177,941,941.0,22.552046999999998,113.944076,1.2742154272321462,10
723,329307291,2,1.6,2014-06-10 15:42:27,西部公共汽车,334路,粤BH1177,942,942.0,22.553494999999998,113.9445185,0.0,11
671,296290136,2,1.6,2014-06-10 15:42:18,西部公共汽车,334路,粤BH1177,942,942.0,22.553494999999998,113.9445185,1.274215427236977,11
675,320998149,2,1.6,2014-06-10 15:44:46,西部公共汽车,334路,粤BH1177,944,944.0,22.556391,113.9454035,0.0,13
703,326006155,4,2.75,2014-06-10 15:44:43,西部公共汽车,334路,粤BH1177,944,944.0,22.556391,113.9454035,1.2742154272321462,13
609,360594072,4,2.75,2014-06-10 15:45:03,西部公共汽车,334路,粤BH1177,945,945.0,22.557839,113.945846,1.274215427241122,13
522,324647359,2,1.6,2014-06-10 19:03:51,西部公共汽车,334路,粤BH1177,1143,1143.0,22.640197999999998,114.04209333333333,0.038784590829305264,48
513,323657554,2,1.6,2014-06-10 19:05:13,西部公共汽车,334路,粤BH1177,1145,1145.0,22.640088857142857,114.03928066666667,0.0,47
590,327377917,2,1.6,2014-06-10 19:05:17,西部公共汽车,334路,粤BH1177,1145,1145.0,22.640088857142857,114.03928066666667,0.03878459082995031,47
416,292818499,2,1.6,2014-06-10 19:08:22,西部公共汽车,334路,粤BH1177,1148,1148.0,22.63992514285714,114.03506166666666,0.0,45
548,321011063,2,1.6,2014-06-10 19:08:12,西部公共汽车,334路,粤BH1177,1148,1148.0,22.63992514285714,114.03506166666666,0.0,45
283,441019998,2,1.6,2014-06-10 19:08:23,西部公共汽车,334路,粤BH1177,1148,1148.0,22.63992514285714,114.03506166666666,0.0387845908291095,45
524,325083685,2,1.6,2014-06-10 19:10:29,西部公共汽车,334路,粤BH1177,1150,1150.0,22.639816,114.032249,0.0,45
360,280919183,2,1.2,2014-06-10 19:10:39,西部公共汽车,334路,粤BH1177,1150,1150.0,22.639816,114.032249,0.0,45
546,298554621,2,1.2,2014-06-10 19:10:43,西部公共汽车,334路,粤BH1177,1150,1150.0,22.639816,114.032249,0.0,45
265,329424752,2,1.6,2014-06-10 19:10:37,西部公共汽车,334路,粤BH1177,1150,1150.0,22.639816,114.032249,0.0,45
413,292671590,2,1.6,2014-06-10 19:10:42,西部公共汽车,334路,粤BH1177,1150,1150.0,22.639816,114.032249,0.0,45
415,292797648,2,1.6,2014-06-10 19:11:50,西部公共汽车,334路,粤BH1177,1151,1151.0,22.639816,114.032249,0.0,45
422,293428666,2,1.6,2014-06-10 19:12:19,西部公共汽车,334路,粤BH1177,1152,1152.0,22.639816,114.032249,1.3340549657062428,45
593,328130096,2,1.6,2014-06-10 19:13:31,西部公共汽车,334路,粤BH1177,1153,1153.0,22.638299,114.03188300000001,-1.5345045760693914,44
300,23618832,4,3.15,2014-06-10 19:17:51,西部公共汽车,334路,粤BH1177,1157,1157.0,22.631798999999997,114.032119,0.0,43
542,295948956,2,1.6,2014-06-10 19:17:19,西部公共汽车,334路,粤BH1177,1157,1157.0,22.631798999999997,114.032119,0.0,43
361,281022418,2,1.6,2014-06-10 19:17:22,西部公共汽车,334路,粤BH1177,1157,1157.0,22.631798999999997,114.032119,0.0,43
403,290889487,2,1.6,2014-06-10 19:17:38,西部公共汽车,334路,粤BH1177,1157,1157.0,22.631798999999997,114.032119,1.4774290087047797,43
297,20093754,2,1.6,2014-06-10 19:18:00,西部公共汽车,334路,粤BH1177,1158,1158.0,22.631232999999998,114.03206599999999,0.0,43
271,330022287,2,1.6,2014-06-10 19:18:08,西部公共汽车,334路,粤BH1177,1158,1158.0,22.631232999999998,114.03206599999999,-1.246444998014656,43
502,321627803,2,1.6,2014-06-10 19:19:13,西部公共汽车,334路,粤BH1177,1159,1159.0,22.62985,114.032531,-1.171101382568827,43
