,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,lab1,lab,纬度,经度,angle,站点标号
128,291050765,2,1.6,2014-06-10 07:15:14,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
133,291421709,2,1.6,2014-06-10 07:15:22,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
155,295161553,2,1.6,2014-06-10 07:15:37,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,-1.0453700800473422,40
114,360728869,2,1.6,2014-06-10 07:17:31,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
126,290889846,2,1.6,2014-06-10 07:17:00,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
122,361343327,2,1.6,2014-06-10 07:17:25,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
172,321815183,2,1.6,2014-06-10 07:17:02,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
252,328876781,2,1.6,2014-06-10 07:17:05,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
250,328652613,2,1.6,2014-06-10 07:17:15,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
213,323433471,2,1.6,2014-06-10 07:17:17,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
181,322543058,2,1.6,2014-06-10 07:17:21,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
154,295026169,2,1.6,2014-06-10 07:17:13,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,0.0,39
231,326289799,2,1.6,2014-06-10 07:17:08,西部公共汽车,334路,粤BH1177,437,437.0,22.61185,114.040168,-1.387564861895118,39
183,321834141,2,1.6,2014-06-10 07:19:32,西部公共汽车,334路,粤BH1177,439,439.0,22.608882,114.040718,0.0,38
113,360669366,2,1.6,2014-06-10 07:19:38,西部公共汽车,334路,粤BH1177,439,439.0,22.608882,114.040718,0.0,38
79,21045141,2,1.6,2014-06-10 07:19:40,西部公共汽车,334路,粤BH1177,439,439.0,22.608882,114.040718,0.6693726834273493,38
97,290066701,2,1.6,2014-06-10 07:20:44,西部公共汽车,334路,粤BH1177,440,440.0,22.607131,114.038505,0.0,37
